CoffeeShop.Discounts.DiscountPercentage,49fd2fab-017d-4549-96b0-7d30da44d1af,(DRINK-005:0.063717134)
CoffeeShop.Discounts.DiscountPercentage,49fd2fab-017d-4549-96b0-7d30da44d1af,(DRINK-003:0.10640271)
CoffeeShop.Discounts.DiscountPercentage,49fd2fab-017d-4549-96b0-7d30da44d1af,(MAIN-003:0.4454872)
CoffeeShop.Discounts.DiscountPercentage,49fd2fab-017d-4549-96b0-7d30da44d1af,(SNACK-001:0.51694965)
CoffeeShop.Discounts.DiscountPercentage,49fd2fab-017d-4549-96b0-7d30da44d1af,(SNACK-005:0.735727)
CoffeeShop.Discounts.DiscountPercentage,49fd2fab-017d-4549-96b0-7d30da44d1af,(SNACK-004:0.54924136)
CoffeeShop.Discounts.DiscountPercentage,49fd2fab-017d-4549-96b0-7d30da44d1af,(DRINK-004:0.2753877)
CoffeeShop.Discounts.DiscountPercentage,49fd2fab-017d-4549-96b0-7d30da44d1af,(MAIN-001:0.70204866)
CoffeeShop.Discounts.DiscountPercentage,49fd2fab-017d-4549-96b0-7d30da44d1af,(MAIN-005:0.6955834)
CoffeeShop.Discounts.DiscountPercentage,49fd2fab-017d-4549-96b0-7d30da44d1af,(SNACK-003:0.79788953)
CoffeeShop.Discounts.DiscountMealDeal,49fd2fab-017d-4549-96b0-7d30da44d1af,((MAIN-001;SNACK-002):1.0715201)
CoffeeShop.Discounts.DiscountX4X,49fd2fab-017d-4549-96b0-7d30da44d1af,(DRINK-005:2:1)
CoffeeShop.Discounts.DiscountX4X,49fd2fab-017d-4549-96b0-7d30da44d1af,(DRINK-003:2:1)
CoffeeShop.Discounts.DiscountX4X,49fd2fab-017d-4549-96b0-7d30da44d1af,(MAIN-003:3:2)
CoffeeShop.Discounts.DiscountPercentage,49fd2fab-017d-4549-96b0-7d30da44d1af,(DRINK-005:0.16356629)
CoffeeShop.Discounts.DiscountPercentage,49fd2fab-017d-4549-96b0-7d30da44d1af,(DRINK-003:0.69933856)
CoffeeShop.Discounts.DiscountPercentage,49fd2fab-017d-4549-96b0-7d30da44d1af,(MAIN-003:0.45208848)
CoffeeShop.Discounts.DiscountPercentage,49fd2fab-017d-4549-96b0-7d30da44d1af,(SNACK-001:0.08201298)
CoffeeShop.Discounts.DiscountPercentage,49fd2fab-017d-4549-96b0-7d30da44d1af,(SNACK-005:0.61541784)
CoffeeShop.Discounts.DiscountPercentage,49fd2fab-017d-4549-96b0-7d30da44d1af,(SNACK-004:0.8803766)
CoffeeShop.Discounts.DiscountPercentage,49fd2fab-017d-4549-96b0-7d30da44d1af,(DRINK-004:0.8158226)
CoffeeShop.Discounts.DiscountPercentage,49fd2fab-017d-4549-96b0-7d30da44d1af,(MAIN-001:0.47740033)
CoffeeShop.Discounts.DiscountPercentage,49fd2fab-017d-4549-96b0-7d30da44d1af,(MAIN-005:0.029592458)
CoffeeShop.Discounts.DiscountPercentage,49fd2fab-017d-4549-96b0-7d30da44d1af,(SNACK-003:0.13268544)
CoffeeShop.Discounts.DiscountMealDeal,49fd2fab-017d-4549-96b0-7d30da44d1af,((DRINK-005;SNACK-002):12.849571)
CoffeeShop.Discounts.DiscountX4X,49fd2fab-017d-4549-96b0-7d30da44d1af,(DRINK-005:3:2)
CoffeeShop.Discounts.DiscountX4X,49fd2fab-017d-4549-96b0-7d30da44d1af,(DRINK-003:3:1)
CoffeeShop.Discounts.DiscountX4X,49fd2fab-017d-4549-96b0-7d30da44d1af,(MAIN-003:3:2)
